Nom de l'offre touristique;Type de restaurant;Catégorie du restaurant;Adresse1;Adresse2;Adresse3;Code postal;Cedex;Bureau distributeur;Commune;Code Insee de la Commune;latitude;longitude;Situation de l'offre;N° de téléphone mobile;N° de téléphone fixe;N° de fax;Adresse e-Mail;Url du site web;Url pour accéder à la vidéo;Type de plateforme/url;widget tripadvisor;Code Embed pour intégrer une video;Classement dans les guides restaurants;Label classement logis;Label tourisme handicap;Animal accepté: oui / non;Complément information animal accepté;Labels;Service(s) proposé(s) sur l'équipement;Nombre max couverts;Nombre salles restaurant;Nombre max couverts en terrasse;Nombre salles de réunion;Nombre salles climatisées;Présence de l'offre sur les grands itinéraires vélo;Langue(s) parlée(s) à l'accueil;Langue(s) parlée(s) à l'accueil;Nombre personnes min pour les groupes;Nombre personnes max pour les groupes;Ouvert toute l'année: oui / non;Horaires d'ouvertures;Moyen(s) de réservation directe;Centrale de réservation en ligne?;Moyen(s) de réservation en ligne;Tarifs;Mode(s) de paiement accepté(s);localisation;Département
RESTAURANT VILLA SAINT GERMAIN;Restaurant;Restaurant gastronomique - cuisine raffinée;;170 rue Alphonse Fouschard;;44521;;;OUDON;44115;47.3457882;-1.287799;"Gare SNCF||Gare d'Oudon||0,45 ; Route (nationale/départ.)||RD723||2";;02 51 14 10 04;;villastgermain@orange.fr;http://www.villa-st-germain.fr/;;"Facebook||http://www.facebook.com/pages/Villa-St-Germain/70244888102 ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g4583707-d4582723-Reviews-Villa_St_Germain-Oudon_Loire_Atlantique_Pays_de_la_Loire.html ; Instagram||https://www.instagram.com/lavillastgermain/";"<div id=""TA_selfserveprop725"" class=""TA_selfserveprop"">;<ul id=""fVfEnwsNR"" class=""TA_links fORCfbO"">;<li id=""VCmtXmbjvp"" class=""loIF1Vwh7Fn"">;<a target=""_blank"" href=""http://www.tripadvisor.fr/""><img src=""http://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""http://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=725&amp;locationId=4582723&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";;Guide du Routard Pays de la Loire,Le Routard Hôtels et Restos de France,Les Tables de Nantes;;;oui;;;Plats à emporter,Plats à emporter / Covid-19,Service en terrasse,WiFi;33;2;15;;;;Anglais,Français;non;1;8;oui;||||||||||||||||12:15||13:30||19:30||21:00||12:15||13:30||19:30||21:00||12:15||13:30||19:30||21:00||12:15||13:30||19:30||21:30||12:15||13:30||19:30||21:30||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.3457882, -1.287799;Loire-Atlantique
RESTO' NS A LA MAISON;Restaurant;Cuisine traditionnelle;;Bourgneuf-en-Retz;;44580;;;VILLENEUVE-EN-RETZ;44021;47.04148;-1.95607;;;06 51 63 16 51;;contact.chefadomicileanthony@gmail.com;https://www.chefadomicile-anthony.fr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces;47.04148, -1.95607;Loire-Atlantique
RETZ PIZZA;Restaurant;Pizzeria;;16 rue Blandeau;;44320;;;SAINT-PERE-EN-RETZ;44187;47.20444;-2.04385;;;02 51 18 50 54;;;https://fr-fr.facebook.com/LE-RETZ-PIZZA-1437409246329279/;;;;;;;;;;;;;;;;;;;;;;;01/01/2018||31/12/2018||||||18:30||21:00||||||18:30||21:00||||||||||||||18:30||21:00||||||18:30||22:00||||||18:30||22:00||||||18:00||21:30||||;;;;;;47.20444, -2.04385;Loire-Atlantique
ROZA;Restaurant;;;3 place de la Monnaie;;44100;;;NANTES;44109;47.2132255;-1.5655622;;;2 40 54 01 87;;reservationroza@hotmail.com;www.restaurantroza.com;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2132255, -1.5655622;Loire-Atlantique
RÊVE D'ASIE;Restaurant;Cuisine du Monde;;9 boulevard de la Renaissance;;44600;;;SAINT-NAZAIRE;44184;47.2830222;-2.2127017;"Transport en commun||Ligne U3 et T2 - Arrêt: Paul Perrin||0,3 ; Transport en commun||Ligne Hélyce - Arrêt: République||0,35";06 27 44 34 49;;;revedasie@gmail.com;;;Facebook||https://www.facebook.com/reve.dasie.5;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;;01/01/2023||31/12/2023||Ouvert uniquement le jeudi, vendredi et samedi soir||Fermé du dimanche au mercredi||||||||||||||||||||||||||||||17:30||20:00||||||17:30||20:00||||||17:30||20:00||||||||;||06 27 44 34 49||revedasie@gmail.com;;;;;47.2830222, -2.2127017;Loire-Atlantique
SALMANAZAR;Restaurant;;;17 avenue des pétrels;Marché de la Baule;44500;;;LA BAULE-ESCOUBLAC;44055;47.28488;-2.39591;;;09 86 36 15 99;;salmanazarlabaule@gmail.com;https://salmanazar-la-baule.eatbu.com/?lang=fr;;;;;;;;;;;;;;;;;;;;;;;01/01/2023||31/12/2023||||||08:00||17:00||||||08:00||17:00||||||08:00||17:00||||||08:00||17:00||||||08:00||17:00||||||08:00||17:00||||||08:00||17:00||||;;;;;Cartes bancaires,Espèces;47.28488, -2.39591;Loire-Atlantique
SO TACOS;Restaurant;Restauration rapide;;29 rue de la Douve;;44210;;;PORNIC;44131;47.1167;-2.1038;;;09 51 56 77 98;;;;;;;;;;;;;;Plats à emporter;;1;;;;;;;;;;;;;;;;47.1167, -2.1038;Loire-Atlantique
SUGAR BLUE;Restaurant;Coffee-shop;;4 Rue de l’Arche Sèche;;44100;;;NANTES;44109;47.215232;-1.5582399;;;09 83 24 19 24;;;http://sugarbluecafe.fr/;;;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.215232, -1.5582399;Loire-Atlantique
SUSHI BENTO;Restaurant;Cuisine du Monde;;14 avenue de la Brière;;44350;;;GUERANDE;44069;47.33027;-2.42391;;;02 28 54 69 34;;contact@sushi-bento.fr;https://sushi-bento.fr/;;;;;;;;;;;;;;;;;;;;;;;10/09/2022||31/12/2022||||||||||||||12:00||14:00||18:00||21:30||12:00||14:00||18:00||21:30||12:00||14:00||18:00||21:30||12:00||14:00||18:00||21:30||12:00||14:00||18:00||21:30||18:00||21:30||||;;;;;;47.33027, -2.42391;Loire-Atlantique
THE WORK CHOPE;Restaurant;Bistrot / bar à vin;;5 Rue Fernand Nouvion;;44600;;;SAINT-NAZAIRE;44184;47.28704;-2.30048;"Transport en commun||Ligne U4 - Arrêt ""Fresnel""||0,2";07 81 81 77 99;;;legeaykev@gmail.com;https://theworkchope.com/;;;;;;;;;;;Banquet;;;;;;;;;;;oui;01/01/2023||31/12/2023||||||11:30||||||17:30||11:30||||||17:30||11:30||||||22:00||11:30||||||22:00||11:30||||||22:00||||||||||||||||;;;;Menu adulte du jour (midi en semaine)||12,50||14,90||;;47.28704, -2.30048;Loire-Atlantique
TORRÉFACTION IDÉALE;Restaurant;;;38 Avenue des Ibis;;44500;;;LA BAULE-ESCOUBLAC;44055;47.2854477;-2.3943016;;;02 40 60 23 74;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2021||31/12/2021||||||||||||||09:15||13:00||14:30||18:00||09:15||13:00||14:30||18:00||09:15||13:00||14:30||18:00||09:15||13:00||14:30||18:00||09:15||13:00||14:30||18:00||09:15||13:00||||;;;;;;47.2854477, -2.3943016;Loire-Atlantique
UNE PART DE SOLEIL;Restaurant;Pizzeria;;1 Rue des Coteaux;;44650;;;CORCOUE-SUR-LOGNE;44156;46.96538;-1.57742;;;02 40 47 17 06;;contact@unepartdesoleil.com;http://www.unepartdesoleil.com/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.96538, -1.57742;Loire-Atlantique
V&B ANCENIS;;Bistrot / bar à vin;;992 Boulevard de la Prairie;Espace 23;44150;;;ANCENIS-SAINT-GEREON;44003;47.3748453;-1.1989384;;;02 40 83 47 46;;ancenis@vandb.fr;https://vandb.fr/v-and-b-ancenis.html;;Facebook||https://www.facebook.com/V-and-B-Ancenis-385420135000090/?fref=ts;;;;;;;;;Plats à emporter / Covid-19;;;;;;;;;;;oui;||||||||||||15:00||20:00||10:00||13:30||14:30||20:00||10:00||13:30||14:30||20:00||10:00||20:00||||||10:00||21:00||||||10:00||20:30||||||||||||;;;;;Cartes bancaires,Espèces;47.3748453, -1.1989384;Loire-Atlantique
VACARME;Restaurant;;;5 rue des Bons Français;;44100;;;NANTES;44109;47.2165623;-1.5551365;;;09 87 34 18 82;;damian@vacarme-nantes.com;https://vacarme-nantes.com/;;Instagram||https://www.instagram.com/vacarme.nantes/;;;Les Tables de Nantes;;;;;;;;;;;;;;;;;;;;;;;;47.2165623, -1.5551365;Loire-Atlantique
WOKMAN - FOODTRUCK;Restaurant;Restauration rapide;;14 Rue de l'Étoile du Matin;;44600;;;SAINT-NAZAIRE;44184;47.2599594;-2.2706541;"Transport en commun||Ligne U1 - Arrêt Aprolis||0,3 ; Transport en commun||Ligne Hélyce - Arrêt Océanis||0,5";07 82 23 25 60;;;miam@wokman.fr;https://www.wokman.fr;;Facebook||https://www.facebook.com/Wokmancuisineitinerante/;;;;;;;;;Plats à emporter,Plats à emporter / Covid-19;;;;;;;;;;;oui;01/01/2023||31/12/2023||||||||||||||11:30||13:30||||||||||||||11:30||13:30||||||11:30||13:30||||||||||||||||||||;;non;||||||07 82 23 25 60||;;;47.2599594, -2.2706541;Loire-Atlantique
RESTAURANT LA PILE D'ASSIETTES;Restaurant;Cuisine traditionnelle;;2 rue de la Chesnaie;;44520;;;ISSE;44075;47.623289;-1.4531826;;;02 40 55 13 42;;lapiledassiettes@laposte.net;;;;;;;;;oui;;;Banquet,Séminaire;120;2;;;;;;oui;15;120;;||||||fermé le samedi||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 55 13 42||;;;||10,90||32,50||;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.623289, -1.4531826;Loire-Atlantique
RESTAURANT LA PIZZAÏOLA;Restaurant;Pizzeria;;1 rue du Minage;;44190;;;CLISSON;44043;47.0871458;-1.2813631;;;02 40 54 31 31;;;https://lapizzaiola44.metro.rest/?lang=fr&fbclid=IwAR2XUdMVvjwq1xpwcxHQRYDLgi0rV5ZNa-TS7jhEsiZwXdhgs1h9vMHLH6E;;;;;;;;oui;;;;100;;;;;;;;;;oui;01/01/2023||31/12/2023||||||12:00||14:30||||||12:00||14:00||||||||||||||12:00||14:30||||||12:00||14:30||19:00||23:00||12:00||14:30||19:00||23:00||12:00||15:00||19:00||21:30;||02 40 54 31 31||;;;"Plats à la carte||9,00||15,00|| ; Menu enfant||||9,00||";Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.0871458, -1.2813631;Loire-Atlantique
RESTAURANT LE DON QUICHOTTE;Restaurant;Cuisine traditionnelle;;35, route de Clisson;;44330;;;VALLET;44212;47.1584979;-1.2707505;;;02 40 33 99 67;02 40 33 99 72;donquichottevallet@wanadoo.fr;https://www.le-don-quichotte.fr/soiree-etape-vallet-clisson/;;;;;Guide du Routard Pays de la Loire,Le petit futé;;;oui;;;Plats à emporter,Séminaire,Service en terrasse,WiFi;60;2;25;1;1;;Anglais,Français;oui;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Tickets Restaurant;47.1584979, -1.2707505;Loire-Atlantique
RESTAURANT LE GRANDCHAMPENOIS;Restaurant;Cuisine traditionnelle;;Place de l'eglise;;44119;;;GRANDCHAMP-DES-FONTAINES;44066;47.3652785;-1.6059863;;;02 40 77 14 13;;patrice.rabouin@wanadoo.fr;http://www.legrandchampenois.com;;Facebook||https://www.facebook.com/Traiteur-le-grandchampenois-1728829900729592/;;;;;;;;;;;1;;;;;;;;;oui;;;;;;;47.3652785, -1.6059863;Loire-Atlantique
RESTAURANT LE LION D'OR;Restaurant;Cuisine traditionnelle;;1 Place Saint Martin;;44130;;;FAY-DE-BRETAGNE;44056;47.4151476;-1.7919928;;;02 40 87 47 03;;;;;;;;;;;oui;de petite taille;;Plats à emporter,WiFi;40;1;;;;;Français;oui;15;50;oui;;M Brosset Gilles||02 40 87 47 03||;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.4151476, -1.7919928;Loire-Atlantique
RESTAURANT LE PIGEON BLANC;Restaurant;Cuisine traditionnelle;;Le pigeon blanc;;44119;;;TREILLIERES;44209;47.2961021;-1.611001;;06 17 32 30 86;02 40 94 67 72;;;https://brasserie-restaurant-le-pigeon-blanc-treillieres.business.site/;;Facebook||https://www.facebook.com/Restaurant-le-pigeon-blanc-%C3%A0-Treillieres-108304191073742;;;;;;;;;;80;2;50;;;;;oui;;80;oui;||||||samedi et dimanche||08:00||15:00||||||08:00||15:00||||||08:00||15:00||||||08:00||15:00||||||08:00||15:00||||||||||||||||||||;;;;;Cartes bancaires,Chèques bancaires et postaux;47.2961021, -1.611001;Loire-Atlantique
RESTAURANT LE SET GOURMAND;Restaurant;Cuisine traditionnelle;;7 place Talhouët;;44110;;;SOUDAN;44199;47.7374293;-1.3048801;;;02 44 05 14 88;;;;;;;;;;;non;;;Service en terrasse,WiFi;34;;;;;;Anglais;oui;;;oui;||||Uniquement du lundi midi au vendredi midi||fermé le week-end||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||02 40 07 08 09||;;;Menu adulte du jour (midi en semaine)||12,70||13,90||;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.7374293, -1.3048801;Loire-Atlantique
RESTAURANT LE TERMINUS;Restaurant;Cuisine traditionnelle;;1 place de la Poste;;44450;;;SAINT-JULIEN-DE-CONCELLES;44169;47.2513303;-1.3868082;;;02.40.54.19.57;;l3bts@bbox.fr;https://www.facebook.com/Le-Terminus-2176498765916173/?ref=page_internal;;;;;;;;;;;Banquet;130;2;;;;;;oui;;130;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux;47.2513303, -1.3868082;Loire-Atlantique
RESTAURANT LE VIGNERON;Restaurant;Cuisine traditionnelle;;HOTEL DE LA LOUEE;11 rue Jean Mermoz;44115;;;HAUTE-GOULAINE;44071;47.1859589;-1.4428337;;;02 40 54 90 69;;hoteldelalouee@wanadoo.fr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.1859589, -1.4428337;Loire-Atlantique
RESTAURANT LES BAGUETTES D'OR;Restaurant;Cuisine du Monde;;12 rue Aristide Briand;;44130;;;BLAIN;44015;47.4762002;-1.7649654;"Gare SNCF||Gare de Nantes||38 ; Route (nationale/départ.)||RN 137, sortie ""Blain""||13 ; Transport en commun||Lignes LILA 11 et 71, arrêt ""Pl Jollan""||0,2 ; Halte fluviale||Port de Blain||1";;02 40 79 27 16;;;http://baguettes-dor.fr/;;"Facebook||https://www.facebook.com/Baguettes-dOr-701968009832917 ; Google+||https://www.google.com/maps/place/Restaurant+Asiatique+Baguettes+d'Or/@47.4760112,-1.7671274,17z/data=!3m1!4b1!4m5!3m4!1s0x480f63b561ec5cdf:0x6b1c3d8c5356019a!8m2!3d47.4760112!4d-1.7649387 ; Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g2715818-d5799353-Reviews-Baguettes_d_Or-Blain_Loire_Atlantique_Pays_de_la_Loire.html";;;;;;;;;;26;1;;;;;;;;;oui;;||02 40 79 27 16||;;;;;47.4762002, -1.7649654;Loire-Atlantique
RESTAURANT LES BOISIERS;Restaurant;Fruits de mer;;6 place de l'Eglise;Saint Omer de Blain;44130;;;BLAIN;44015;47.4746774;-1.8579415;"Gare SNCF||Gare de Nantes||41,5 ; Route (nationale/départ.)||RD 164 (route de Redon)||2 ; Halte fluviale||Ecluse de Bougard||1,4";07 88 29 38 30;02 40 79 07 11;;;;;"Facebook||https://www.facebook.com/Restaurant-Les-Boisiers-369942590200786 ; Instagram||https://www.instagram.com/explore/locations/369942590200786/restaurant-les-boisiers/";;;;;;;;Tables et Auberges de France;Banquet,Plats à emporter;75;3;;;3;;Français;oui;;;oui;;||02 40 79 07 11||;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.4746774, -1.8579415;Loire-Atlantique
RESTAURANT LES BÂTELIERS;Hôtel restaurant;Cuisine traditionnelle;;Le Jarier d'Ancenis - RD723;;44150;;;VAIR-SUR-LOIRE;44163;47.378139;-1.148427;"Route (nationale/départ.)||RD723||0 ; Gare SNCF||Gare SNCF d'Ancenis||1 ; Autoroute||A11, péage d'Ancenis||2 ; Aéroport/aérodrome||Aérodrome D'Ancenis||2";;02 40 96 00 03;;contact@hotel-loire.net;http://www.hotel-loire.net;;"Facebook||https://www.facebook.com/profile.php?id=100005020305748&fref=ts ; Tripadvisor||http://www.tripadvisor.fr/Restaurant_Review-g1051955-d6697474-Reviews-Les_Bateliers-Ancenis_Loire_Atlantique_Pays_de_la_Loire.html";"<div id=""TA_selfserveprop81"" class=""TA_selfserveprop"">;<ul id=""yHIsEexp"" class=""TA_links WtloiJsP2kpl"">;<li id=""8vesGWRQl"" class=""rPCnaXxKdg9"">;<a target=""_blank"" href=""http://www.tripadvisor.fr/""><img src=""http://www.tripadvisor.fr/img/cdsi/img2/branding/150_logo-11900-2.png"" alt=""TripAdvisor""/></a>;</li>;</ul>;</div>;<script src=""http://www.jscache.com/wejs?wtype=selfserveprop&amp;uniq=81&amp;locationId=6697474&amp;lang=fr&amp;rating=true&amp;nreviews=3&amp;writereviewlink=false&amp;popIdx=false&amp;iswide=false&amp;border=true&amp;display_version=2""></script>;";;Le petit futé,Michelin;;;oui;;Logis;Banquet,Séminaire,Service en terrasse,Traiteur,WiFi;90;1;30;3;1;;Anglais,Français,Italien;oui;1;80;oui;||||||||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||12:00||13:30||19:00||21:00||||||||||||||||||||||||;;;;;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.378139, -1.148427;Loire-Atlantique
RESTAURANT P'TITE CASQUETTE;Restaurant;Grill - Rôtisserie;;Lergat;route de Pen-Bron;44420;;;LA TURBALLE;44211;47.33242;-2.48233;;;02 40 23 30 82;;laptitecasquette@orange.fr;http://www.ptitecasquette.com;;;;;Le petit futé;;;oui;;;Séminaire,Service en terrasse,WiFi;150;;60;;;;Anglais;oui;;100;;19/05/2021||31/12/2021||||||11:30||20:00||||||11:30||20:00||||||11:30||20:00||||||11:30||20:00||||||11:30||20:00||||||11:30||20:00||||||11:30||20:00||||;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces,Tickets Restaurant;47.33242, -2.48233;Loire-Atlantique
RESTAURANT PIZZERIA LE RESERVOIR;Restaurant;Pizzeria;;37 rue du Colonel Boutin;;44430;;;LE LOROUX-BOTTEREAU;44084;47.238298;-1.3465182;;;02 40 33 80 65;;lereservoircafe@hotmail.fr;http://www.lereservoircafe.fr/;;;;;;;;;;;;68;;;;;;Anglais,Espagnol;oui;;;oui;;;;;;Cartes bancaires,Chèques bancaires et postaux;47.238298, -1.3465182;Loire-Atlantique
RESTAURANT RAPIDE DOMINO'S PIZZA;Restaurant;Restauration rapide;;3 rue de la Gare;;44110;;;CHATEAUBRIANT;44036;47.7181277;-1.3719891;;;02 40 07 20 20;;frchateaubriant@dominos.fr;http://www.dominos.fr;;;;;;;;;;;Plats à emporter;;;;;;;Anglais;;;;;;||02 40 07 20 20||;;;Plats à la carte||7,00||||;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.7181277, -1.3719891;Loire-Atlantique
SANTOSHA;Restaurant;Cuisine du Monde;;4 RUE DE LA PAIX ET DES ARTS;;44600;;;SAINT-NAZAIRE;44184;47.2766707;-2.2094132;"Gare SNCF||||1,3 ; Transport en commun||Ligne Hélyce - Arrêt: Rue de la Paix||0,065";;02 51 76 65 22;;info@santosha.cool;https://santosha.cool/;;"Facebook||https://m.facebook.com/Santosha-Saint-Nazaire-101373519189394/?fref=tag ; Google+||https://www.google.com/search?q=google%2B+santosha+saint-nazaire&rlz=1C1CHBF_frFR931FR931&biw=1500&bih=792&sxsrf=ALiCzsZNoc8eqreyVTqFfieyM7zAD6XkGA%3A1655104179846&ei=s-KmYqiRM5iMxc8Phce-iAc&ved=0ahUKEwjottLF76n4AhUYRvEDHYWjD3EQ4dUDCA4&uact=5&oq=google%2B+santosha+saint-nazaire&gs_lcp=Cgdnd3Mtd2l6EA ; Instagram||https://www.instagram.com/santoshasantosha/?hl=en";;;;;;;;;Livraison à domicile / Covid-19,Plats à emporter,Plats à emporter / Covid-19,Service en terrasse;76;2;46;;1;;Anglais,Français;oui;;13;non;01/01/2023||31/12/2023||Ouvert du lundi au dimanche||Ouvert 7j/7||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00;||02 51 76 65 22||;;;Plats à la carte||5,50||13,40||;Cartes bancaires,Chèques Vacances,Espèces,Tickets Restaurant;47.2766707, -2.2094132;Loire-Atlantique
SOUS LES PALMIERS, LA PLAGE;Restaurant;Restauration rapide;;8 boulevard de Verdun;;44600;;;SAINT-NAZAIRE;44184;47.2714659;-2.204256;"Bord de mer|||| ; Gare SNCF||||2,4 ; Transport en commun||Ligne U2 - Arrêt: Quatzhorloges||0,5 ; Transport en commun||Ligne U4 - Arrêt : Petit Maroc||0,24";;;;;;;Facebook||https://www.facebook.com/souslespalmierslaplage/?fref=ts;;;;;;oui;;;Service en terrasse,WiFi;25;;20;;;;Anglais;non;;12;oui;01/01/2023||31/12/2023||Ouvert du mercredi au dimanche||Fermé le lundi et mardi||||||||||10:00||||||20:00||10:00||||||20:00||10:00||||||20:00||10:00||||||21:00||10:00||||||21:00||10:00||||||20:00;||02 40 22 13 97||cafesouslespalmiers@gmail.com;;;;Cartes bancaires,Chèques bancaires et postaux,Espèces,Tickets Restaurant;47.2714659, -2.204256;Loire-Atlantique
STREET FOOD;Restaurant;;;10 rue du Pont Neuf;;44160;;;PONTCHATEAU;44129;47.4358;-2.08864;;;02 51 76 43 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.4358, -2.08864;Loire-Atlantique
SUNSET CAFE;Restaurant;Pizzeria;;2 Avenue Ernest Chevrier;;44730;;;SAINT-MICHEL-CHEF-CHEF;44182;47.16532;-2.16684;;;02 44 06 53 33;;sun7man@aol.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.16532, -2.16684;Loire-Atlantique
SUSHI ATLANTIC;Restaurant;Cuisine du Monde;;14 Avenue de la Gare;Bourgneuf en Retz;44580;;;VILLENEUVE-EN-RETZ;44021;47.04657;-1.95599;;;06 41 42 31 33;;sushiatlantic44@hotmail.com;;;;;;;;;;;;Plats à emporter;;;;;;;;;;;;;;;;;;47.04657, -1.95599;Loire-Atlantique
TYKAZ;Restaurant;Restauration rapide;;18 Place de l'Eglise;;44117;;;SAINT-ANDRE-DES-EAUX;44151;47.31479;-2.31143;;;02 40 88 46 37;;;;;;;;;;;;;;;;;;;;;;;;;;01/01/2023||31/12/2023||Ouvert du mardi au samedi||Fermé le dimanche et lundi, ainsi que le mardi soir ainsi que le samedi midi||||||||||12:00||14:00||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||12:00||14:00||19:00||21:30||||||19:00||21:30||||||||;;;;;;47.31479, -2.31143;Loire-Atlantique
VERGINE FAST FOOD;Restaurant;Restauration rapide;;27 Rue Saint Honoré;;44270;;;MACHECOUL-SAINT-MEME;44087;46.992083;-1.818345;;;02 51 11 33 73;;;;;Facebook||https://www.facebook.com/Vergine-Fast-Food-Kebab-103118911607010;;;;;;;;;Plats à emporter;;;;;;;;;;;;01/01/2023||31/12/2023||||||||||||||11:30||14:00||18:00||21:30||11:30||14:00||18:00||21:30||11:30||14:00||18:00||21:30||11:30||14:00||18:00||22:00||11:30||14:00||18:00||22:00||||||18:00||22:00;;;;;;46.992083, -1.818345;Loire-Atlantique
WILD CAFÉ;Restaurant;;;7 bis allée des Ormeaux;;44500;;;LA BAULE-ESCOUBLAC;44055;47.28427;-2.39235;;06 11 11 63 93;;;;;;;;;;;;;;;;;;;;;;;oui;;;;;;;;;;47.28427, -2.39235;Loire-Atlantique
YAKELY FOOD EXPRESS;Restaurant;Cuisine du Monde;;5 Rue de Couère;;44110;;;CHATEAUBRIANT;44036;47.71949;-1.37656;;0749341347;;;dkassi44@yahoo.fr;;;;;;;;;;;;;35;;;;;;;;;;;;;;;Menu adulte du jour (midi en semaine)||10,00||||;;47.71949, -1.37656;Loire-Atlantique
LE MEKONG;Restaurant;Restauration rapide;;41 Rue Saint Georges;;44390;;;NORT-SUR-ERDRE;44110;47.4401731;-1.492658;;;02 40 93 64 11;;;http://mekong.nortsurerdre.free.fr/;;"Tripadvisor||https://www.tripadvisor.fr/Restaurant_Review-g2544622-d11868810-Reviews-Le_Mekong-Nort_sur_Erdre_Loire_Atlantique_Pays_de_la_Loire.html ; Facebook||https://www.facebook.com/Le-Mekong-102354108126603";;;;;;;;;Plats à emporter;;;;;;;Français;;;;oui;;||02 40 93 64 11||;;;;Cartes bancaires,Chèques bancaires et postaux,Tickets Restaurant;47.4401731, -1.492658;Loire-Atlantique
LE MOULIN BLANC;Restaurant;Crêperie;;24 rue Vincent Auriol;;44600;;;SAINT-NAZAIRE;44184;47.2729874;-2.2063729;"Gare SNCF||||1,8 ; Transport en commun||Lignes U2/S/D - Arrêt Quatzhorloges||0,15";;02 40 66 52 54;;contact@lemoulin-blanc.fr;https://www.lemoulin-blanc.fr/;;;;;Le petit futé;;;oui;Uniquement les petits animaux;;;30;1;0;;;;Français;non;;;oui;01/01/2023||31/12/2023||Ouvert du mercredi au lundi midi||Fermé le lundi soir et mardi toute la journée ||12:00||14:00||||||||||||||12:00||14:00||19:00||21:30||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||22:00||12:00||14:00||19:00||21:30;||02 40 66 52 54||;;;Plats à la carte||7,00||14,50||;Cartes bancaires,Chèques Vacances,Tickets Restaurant;47.2729874, -2.2063729;Loire-Atlantique
LE MÉLYNA;Restaurant;Brasserie;;4 rue du Maréchal Leclerc;;44420;;;LA TURBALLE;44211;47.34809;-2.51161;;;02 49 52 63 64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.34809, -2.51161;Loire-Atlantique
LE NEPTUNE;Restaurant;Cuisine traditionnelle;;11 avenue de Port val;Côte sauvage;44490;;;LE CROISIC;44049;47.2992;-2.53781;;06 62 33 78 75;02 40 23 02 59;02 40 23 28 76;leneptunelecroisic@orange.fr;http://www.restaurant-leneptune.fr;;;;;Guide du Routard Pays de la Loire,Le petit futé,Michelin;;;;;;WiFi;80;;30;;;;Allemand,Anglais;;;;;;;;;;Cartes bancaires,Chèques bancaires et postaux,Chèques Vacances,Espèces;47.2992, -2.53781;Loire-Atlantique
